Date,Open,High,Low,Close,Volume (BTC)
2014-02-26,542.01,609.0,541.0,597.6001,38049.5852023
2014-02-27,597.7001,599.0,568.75,584.3339,10818.5253477
2014-02-28,585.30268,591.18,540.2044,549.995,16312.3739364
2014-03-01,549.01,577.25,541.1,570.25,7572.00901287
2014-03-02,569.31874,572.24,555.161,565.37191,3078.28656856
2014-03-03,566.0,719.25,563.0,680.98,50919.5416933
2014-03-04,680.98,703.85,658.5,672.0,25025.6081617
2014-03-05,672.59999999,678.9999,651.21,669.61,8381.31800006
2014-03-06,669.61,676.43,648.7,668.0,7057.99015509
2014-03-07,667.0,669.0,616.23,631.01,17234.6962823
2014-03-08,632.99999999,639.999,600.6,616.8001,10971.4374053
2014-03-09,616.9,654.999,610.25,638.5,8290.10866807
2014-03-10,638.52,648.3,606.0,626.9801,11575.1156732
2014-03-11,626.9801,641.9999,615.31,634.01,3634.08082
2014-03-12,634.01,654.0,631.0,636.2296,7287.42468826
2014-03-13,636.10235,648.0,634.5001,644.18,3312.96067553
2014-03-14,643.1,645.0,623.5,627.98,5526.4353953
2014-03-15,628.89,639.8899,626.3,635.45,1735.62936143
2014-03-16,635.45,638.0,628.5801,633.0,1902.57118506
2014-03-17,632.0,632.5,619.2,623.8,3761.84368802
2014-03-18,623.8,623.8,600.0,615.5999,7736.26828485
2014-03-19,615.5999,622.2,605.9841,609.0,3436.66790193
2014-03-20,608.9841,609.0,584.0,586.5551,8100.0606361
2014-03-21,588.8294,605.96,555.5,570.9999,19202.2845534
2014-03-22,570.9798,574.24,550.09,563.0,6731.31574218
2014-03-23,563.0,571.0,555.0,558.0,4833.22337384
2014-03-24,557.8884,590.0,550.5,585.6587,9275.28768732
2014-03-25,584.9899,586.0,568.55,583.9899,4902.03403056
2014-03-26,583.89,593.25,566.51,576.6,7649.23071354
2014-03-27,577.9999,579.4799,465.0,474.0,41023.5516603
2014-03-28,475.0,533.36,470.0,502.25,35985.2142118
2014-03-29,502.4996,507.99,485.45,492.4398,4635.16685558
2014-03-30,490.01,491.9999,436.2,460.9999,26151.1301347
2014-03-31,460.6,488.0,436.1,456.9899,22069.3369658
2014-04-01,456.3,513.9,453.4,479.9181,19999.3085122
2014-04-02,477.53,496.2,431.2,437.2203,29119.1046176
2014-04-03,436.5301,463.0,415.46,447.9999,24590.4064978
2014-04-04,447.1161,458.5899,430.2,447.0211,10562.8572688
2014-04-05,448.001,464.5,444.395,463.99,4573.75741605
2014-04-06,463.5,465.9998,450.0,458.78,2952.40660615
2014-04-07,458.6,461.0,445.05,446.58,6147.47600223
2014-04-08,445.222,458.8,445.01,452.3849,4860.84550476
2014-04-09,452.3849,455.13590891,440.0536,442.45,4167.09060672
2014-04-10,442.4499,442.8689,357.0,364.2,45002.9695495
2014-04-11,364.04989,433.6,340.0,421.0,38705.5569185
2014-04-12,421.999,441.0,413.0741,423.3,10732.2408288
2014-04-13,422.2001,428.2,400.0,418.0,10265.6836892
2014-04-14,417.6,478.0,406.4,460.0,29763.397505
2014-04-15,460.0,526.995,452.0,519.0,24214.5733178
2014-04-16,519.11,547.0,495.0,531.25,29218.8507666
2014-04-17,531.25,535.7499,486.1,498.10000001,18285.6317707
2014-04-18,499.0,503.9999,474.25,480.044,9730.47478781
2014-04-19,480.044,513.9899,473.83,504.999999,9063.48907105
2014-04-20,504.99999,517.995,492.2,500.9501,4760.82881705
2014-04-21,501.3551,515.646,485.0,495.39,8179.33326468
2014-04-22,499.25,506.0,488.0,489.2503,3570.34633425
2014-04-23,491.69999999,496.0,482.88,491.78,4187.17351874
2014-04-24,492.08,504.96,480.16,503.7,5017.14446629
2014-04-25,503.7,504.96,441.3,464.33566,30667.9213255
2014-04-26,464.33566,469.19,449.8001,460.0,7835.67783029
2014-04-27,459.01,465.6,427.55,429.99,7849.47942997
2014-04-28,429.99,450.0,423.11,441.38999999,15283.0344658
2014-04-29,441.39,454.0,434.0,446.53,7573.20092376
2014-04-30,446.53,453.9899,432.0,449.0201,7046.94954762
2014-05-01,449.0201,463.53,448.82,459.4102,5144.92316754
2014-05-02,461.11992999,461.11992999,443.0,452.0,3751.5883235
2014-05-03,451.99,451.9999,430.0,439.7398,7602.43030203
2014-05-04,439.7297,441.4999,429.0,435.0413,4220.91532271
2014-05-05,438.58799899,444.4,425.5999,432.389,5435.54300037
2014-05-06,431.6,435.39,419.4,429.7,6965.03137807
2014-05-07,430.0,453.6,424.2487,440.43,11189.8172391
2014-05-08,440.0,450.59,437.69,438.5,3456.92125521
2014-05-09,438.2,456.6,438.2,454.0,3062.89060414
2014-05-10,453.99,459.65,448.2,456.09,3674.99628935
2014-05-11,456.11,458.4,430.0,437.97,10720.6350242
2014-05-12,437.45,442.0,431.8,440.0,3450.84753709
2014-05-13,440.0,440.9,434.01,438.81,2044.09198203
2014-05-14,438.81,448.0,438.47,445.0,3104.61120276
2014-05-15,444.03,451.4,444.0,447.58,1648.49804694
2014-05-16,447.58,453.0,443.4,448.6,1707.21667711
2014-05-17,448.6,450.0,446.83,449.03,907.0058887
2014-05-18,449.04,449.11,445.5,447.4,773.02365381
2014-05-19,447.6,448.5,444.1,447.0,1423.92886676
2014-05-20,446.89,498.68,446.0,491.35,21176.5125766
2014-05-21,490.62,501.0,489.5,494.99,7206.26246587
2014-05-22,495.0,530.0,492.25,528.85,17215.7507921
2014-05-23,528.85,544.78,521.11,523.57,16725.892656
